subject,predicate,object
u-yvCtTHQjyQ7-Ta6qR9jaiA,VISIT,b-kG0N5urz2lkPEBDPjqFR3w
Delicious,ASPECT_ATTR_FOR,b-S4qUsi44l5D9BbUCkhwQEA
Food,IS,Friendly
u-lF-iePcGahr1uwSoE5pAnQ,RATE,b-c4qE3ygdEQUD9dZjganavA
Awful,MENU_ATTR_FOR,b-j4ytRzcmtU4cLMBrhY7jMA
u-4sAhsvqIlZIlmcR_UtdwYw,VISIT,b-vCx6uieEF0W0mKFK4sT3Yg
u-t_fiqKCMYUXa9aahze1qFA,RATE,b-vCx6uieEF0W0mKFK4sT3Yg
b-DeI4KqEeWy0cTdh7Wy5_RA,HAS_REVIEW,r-5BNmr6VFtFF5ZmPD2ovjTQ
u-QzfkTRxTgBYIagHlVsFoyg,WRITE_REVIEW,r-L26vMpMuQETI71wWwiMM8A
Pleasant,ASPECT_ATTR_FOR,b-3wJ4kJsJhayyfJ30HsS04g
b-eRZuxjnaMviiVyvhejwTBQ,HAS_REVIEW,r-Np4nd77Y_zFhWMpXTxl6vQ
u-n86B7IkbU20AkxlFX_5aew,WRITE_REVIEW,r-euYpjVZ03h8rMN06d7avhg
u-Ci_uvDAU3i39Nva7JpYBig,WRITE_REVIEW,r-WP5i-nfRrYDRfeZ9S9Sbmg
b-p-J9iJgeHmPGk2jFAM0WnA,IS,Great
b-jb0-JZMt-6Khsh-VwsDtLQ,HAS_REVIEW,r-2dodEYYXM4EonBRZ20Wbgg
u-YnG16Ji4PdhsPQNrFtbixQ,WRITE_REVIEW,r-NC8XJXe_mpSIwLSUMUSKEg
b-gA4bnK91phT5FTzG4ki3Dw,HAS_REVIEW,r-cEXiLygWu6NdZ0QsLzRSwQ
u-_pjGXXo-g41vhDIIyjy7Fg,VISIT,b-TTCZkfxt0GW8YUzdVe0PrA
Flavourful,MENU_ATTR_FOR,b-DKqhCd3Vwl3CEo8vUHhLYg
Good,MENU_ATTR_FOR,b-LwXo16VrGPhhOWc_Wj7ifw
b-COfzp0tze_F8N13zn40zzg,HAS_MENU,Lamb_Korma
Messy,MENU_ATTR_FOR,b-8PZGCtgG5MZKvz9i3B9gCA
Staff,IS,Excite
u-5QfGgW6hWDBLOkBnUPt0lA,RATE,b-DJuQgsoj-qmU0i5iTAa4aA
b-qMw7mFHAjgG7qN82aXmeZg,HAS_MENU,Beef
u-qCYSdhsOzHBKT-V72BiYNA,ORDER,Butter_Chicken
b-Dd1w7xR7Xs3bthwusgy33Q,HAS_REVIEW,r-nnymSIGVAE2dtuUB3foepA
u-jSe0eX8NhE3iRoDuD-TCAw,WRITE_REVIEW,r-hur_A4F8xIT5kk3gINXq-w
u-DK57YibC5ShBmqQl97CKog,VISIT,b-xYpAg60oZVbOtSYgrOKBgQ
u-1mWIqaYBzZAoz9dElYm9dw,VISIT,b-oX6y1Jm1jYLoWifmIrtaSQ
u-MNrJg13AAX6qvaa6PxFdRQ,HAS,Weekend
u-kQidzHaomuoW_xzIzKgleQ,WRITE_REVIEW,r-7dkFk93mZ6RjUCwVa-e_Eg
u-yRy06dgAS4CZ1eyE1bQ5QQ,RATE,b-eRZuxjnaMviiVyvhejwTBQ
u-GwoyfnsM0nfb8oOGdjicrQ,WRITE_REVIEW,r-S7uTf0RM63BsM7weDWXskg
Good,ASPECT_ATTR_FOR,b-7vgWonwfqRt9pxR1c00Ulw
Decent,ASPECT_ATTR_FOR,b-UAXz2KC1aXpxzV-MLdXbmQ
u-gDnR2a2N1vNNSEx1GgwtHA,VISIT,b-Eu-M3y8a5bIxIRXlCj9yHA
b-ZJ0gQp0fcnIDiZv0m9--Gg,HAS_REVIEW,r-r_AxFfwEy_ZrcwQvHVR5eg
Butter_Chicken,IS,Great
b-XvuUYiJYAAiNC4AmdbBZ8g,HAS_MENU,Butter_Chicken
u-apoKg6ff0kDjmkKTTpPKEA,RATE,b-Pzs43Fkub-6A9hA1zqpF_w
u-B0nmSHz3XZjJ8K93ycpDyA,VISIT,b-j4ytRzcmtU4cLMBrhY7jMA
u-E43QxgV87Ij6KxMCHcijKw,VISIT,b-p-J9iJgeHmPGk2jFAM0WnA
b-f6T2YaTfGoSyQV-l4jzrjw,HAS_REVIEW,r-iGXNShcwGSOSjf2y-Sh5BQ
b-DKqhCd3Vwl3CEo8vUHhLYg,HAS_MENU,Salad
u-GdFg5NgRA3D3EnliNKcAow,WRITE_REVIEW,r-FcIMXwN-wOX8X872YnBAqg
b-Q8uwArm4h8bhsqxw84Gd8w,HAS_ASPECT,Service
b-8grTRpmD9JYRPWayoLxg0w,HAS_REVIEW,r-RC0TCm156bDm-M33GSnugA
b-DJuQgsoj-qmU0i5iTAa4aA,HAS_ASPECT,Service
b-xA6L2w_TlbxHubb1xeBE8w,HAS_REVIEW,r-Bj9ZD3FzR1DwcgzgVZZXYw
u-OtV8UYg28PLpoFFdHQvKHw,WRITE_REVIEW,r-MWr9O8S72Ni_9dcL6NWw_A
Excellent,ASPECT_ATTR_FOR,b-gA4bnK91phT5FTzG4ki3Dw
u-7zhra0LL0dLYo4Nmo5Q_xA,VISIT,b-gA4bnK91phT5FTzG4ki3Dw
Delicious,MENU_ATTR_FOR,b-0cf-w9PK5gLkBkitL3bdqw
u-QPZ3FoL4ZI2T3pNXxfo3Mg,WRITE_REVIEW,r-qLXmpARh8PJsC_a_wEUKIw
b-BxkVct02QHybp54ATZgkUQ,HAS_REVIEW,r-rqhZ4GILpf53C6Pg0q84RA
u-Ug0ujy9-jd0Oc2nk3KIotA,WRITE_REVIEW,r-ThIu9DfhNcTsZYbFAmFB7g
b-5eDg_Y2N6aU_k7tIxoFXTg,HAS_MENU,Makhani_Daal
u-50onk-sE-OODo3mgU27-nw,VISIT,b-oX6y1Jm1jYLoWifmIrtaSQ
b-scM6rLQqoz5dEIgwz_JFsg,HAS_ASPECT,Staff
u-dFRwBvNeQ1MIq4jC_5tx8A,RATE,b-gA4bnK91phT5FTzG4ki3Dw
Food,IS,Worth
u-0GUlOnwNMENSpzeb_ZBGzA,RATE,b-sUGlSS0AF2xPYFEjvKJbSA
u-JJ98GQepxaRRelII93vUOw,WRITE_REVIEW,r-UntI3xtFEanyrjQQj92RDQ
b-35KvoWbA3kEsdckaWqG3OA,HAS_MENU,Dinner
b-COfzp0tze_F8N13zn40zzg,HAS_MENU,Mango_Lassi
b-XvuUYiJYAAiNC4AmdbBZ8g,HAS_MENU,Tandoori_Grill
Spicy,MENU_ATTR_FOR,b-3wJ4kJsJhayyfJ30HsS04g
b-V_jIfMz9Z7a5mthleRq0_w,HAS_MENU,Naan
Expensive,ASPECT_ATTR_FOR,b-DeI4KqEeWy0cTdh7Wy5_RA
b-_PKXarw3GjlbwbXhjdpUMA,HAS_MENU,Soup
u-BsvsJue01pezr1hnGqQ1Lw,RATE,b-MMOEaEcq-bsg_RYWHSC4_g
u-PGOY-ncw_bfJ8wdkJY1ETA,VISIT,b-gXLiBVCHIqoPEw2CaP3QmQ
b-qMw7mFHAjgG7qN82aXmeZg,HAS_REVIEW,r-83vSjKFrgfUSxvYfFpDUcQ
u-Kf10dTiGlcnyhj8DBoZn1A,WRITE_REVIEW,r-uU7vyCEQpDKacah9GLUesg
u-IQ6H85aloTdF7iAkr_b7Fg,WRITE_REVIEW,r-tP8jcloyI3_gLnjSM8SRTQ
b-P4h8kgy_48oE9vCHJc4BCQ,HAS_ASPECT,Customer_Service
u-PKEzKWv_FktMm2mGPjwd0Q,RATE,b-5eDg_Y2N6aU_k7tIxoFXTg
Sauce,IS,Rich
b-P4h8kgy_48oE9vCHJc4BCQ,IS,Consistent
u-d2mjWg0euCJYfkeWd7dckg,WRITE_REVIEW,r-TR4yAxUOdpc4YgX8mHhnYg
u-PMzZIU1oDxDD6B8dE3-mog,WRITE_REVIEW,r-LOvxhLiQWl5EiWkfIjuVmQ
u-yBcTOONqqdC3DUUEAc14_w,VISIT,b-jb0-JZMt-6Khsh-VwsDtLQ
u-FwgT_pZzsLCRPROEonT0fQ,RATE,b-8grTRpmD9JYRPWayoLxg0w
b-qcqDjeirxvdgW5kQVkEwSA,HAS_REVIEW,r-fn00ycRdYCl713B96_ZCNQ
u-Vqx_NN9MCo-L9n_8gvAXUQ,HAS_FRIEND,u-BpNAPKjA2O6rTu5APobHjQ
b-_X0M7EMx475KZSX9wAsmgg,HAS_MENU,Dinner
b-qhKNZTtTT6GLnPzQny-v9Q,HAS_REVIEW,r-ktXvtaMdkaWSdWvHrVDHHA
u-3c3aNHGUPDwFZhxCe-p8Ag,RATE,b-p-J9iJgeHmPGk2jFAM0WnA
u-aBFRvo8kvc6UNwUg87j5mQ,ORDER,Dinner
u-43gQxtscCBxJGcYfnBIPuw,VISIT,b-Dh2Z3WNu6M71LbMNHEeg3w
u-KBSFwLHntHwf0e28a94ckg,WRITE_REVIEW,r-zYa0zrIQns-wEXdk2c0mtg
u-zcM8eIIADgLklgkmphadlg,RATE,b-c4qE3ygdEQUD9dZjganavA
Friendly,ASPECT_ATTR_FOR,b-DKqhCd3Vwl3CEo8vUHhLYg
b-0zTLMQOZhiCp9GFtegiFsw,HAS_MENU,Rice
b-vCx6uieEF0W0mKFK4sT3Yg,HAS_MENU,Butter_Chicken
b-MgsOZpYSntKSCzNROiWgYQ,IS,Good
u-pmeGrUv6S22pf38FTRYCzg,ORDER,Aloo_Gobi
Price,IS,Good
b-Eu-M3y8a5bIxIRXlCj9yHA,HAS_ASPECT,Decor
u-Ywq-0nNsdR7byGWgfi4XxQ,WRITE_REVIEW,r-cTHzoGtGWNI2mB7Zs3Ej_w
u-J5eK0nDfQPlD0VeihS40kA,VISIT,b-scM6rLQqoz5dEIgwz_JFsg
u-RRhco4irDXPk5EJmvuwr2w,VISIT,b-UaMq3DUhtkoZ5WCEQm2T9g
b-k9PfKE7KfztoMpOSx25UpA,HAS_REVIEW,r-AVSu5b3J0Z4DdBRvgvhw-A
u-JnPIjvC0cmooNDfsa9BmXg,WRITE_REVIEW,r-RraTv4DDyS1Zfob-bs5lvQ
u-O11tw0DcEqxYmismRwaFoQ,VISIT,b-GC9Re0tKAnecMww3DB638g
u-ybJkYYEBvFGVb-or4i9_oA,RATE,b-3frFidAcPVYAFB2RxxkIdA
b-SxuD7iY8QO88PNbSdNmNKg,HAS_REVIEW,r-gk9MxTVpZXB5utWdst9AEw
u-gS4QCL6j_umAyfJXBGAZJQ,WRITE_REVIEW,r-sDpxPY8jpRJGx7i07WmSXw
Price,IS,Outrageous
u-pOJmVSIJFbLQ5u1MhfsWLw,RATE,b-7vgWonwfqRt9pxR1c00Ulw
u-CwFebMF23wOAepWE38XACA,ORDER,Vegetarian_Thali
u-8q4qgrHmNn2OHLb8g3nHGQ,RATE,b-Eu-M3y8a5bIxIRXlCj9yHA
Saffron,IS,Great
u-nQdeDxykYTI-0YDfmel3JA,WRITE_REVIEW,r-l0S9Rl64RlL9ZGjm_0S5LQ
Service,IS,Prompt
b-P4zWgzYzy03D9LeDTpKuDg,HAS_MENU,Dosa
u-_uyl_vUs7HEhuif8yBmLyQ,VISIT,b-P4h8kgy_48oE9vCHJc4BCQ
Hot,MENU_ATTR_FOR,b-0zTLMQOZhiCp9GFtegiFsw
u-5QFws6LKMCZCgKHl8WR1jQ,WRITE_REVIEW,r-ZXvSUYa0iFFdALax7OTW2A
Sauce,IS,Great
Quiet,MENU_ATTR_FOR,b-qhKNZTtTT6GLnPzQny-v9Q
b-xYpAg60oZVbOtSYgrOKBgQ,HAS_REVIEW,r-g5iOYA19Xk4mPwumi2Fqpw
b-DeI4KqEeWy0cTdh7Wy5_RA,HAS_ASPECT,Service
b-YywWkWX235ZurTWSLqNPog,HAS_REVIEW,r-5kFwRijQNVKqEBScBgViWg
u-LGmwyWHL6e3XqPG1qKHP2w,RATE,b-LwXo16VrGPhhOWc_Wj7ifw
Good,MENU_ATTR_FOR,b-ZNdV9ytExuxPTXSN8i2xhw
b-or1daHtUK9b7sqFRPf62GQ,HAS_REVIEW,r-e9Ve9nzlslW6O_Q_5ZTeLg
u-0N0Dvd3OQ3uOf7icQA-mkw,VISIT,b-sUGlSS0AF2xPYFEjvKJbSA
b-ZJ0gQp0fcnIDiZv0m9--Gg,HAS_CATEGORY,Vegetarian
Biryani,IS,Amazing
b-oX6y1Jm1jYLoWifmIrtaSQ,HAS_MENU,Naan
b-COfzp0tze_F8N13zn40zzg,HAS_MENU,Oignon_Bhaji
High,ASPECT_ATTR_FOR,b-CB99Ifh4OnBTnuNdRjj_fQ
u-2ZZNOoMQ7WFvFoxDUFw1wg,VISIT,b-3frFidAcPVYAFB2RxxkIdA
u-86ij_78wolDsWWwAB1gGFQ,WRITE_REVIEW,r-GVJb_8T6mFJ5x4IHbrcMiw
Service,IS,Bad
b-gA4bnK91phT5FTzG4ki3Dw,HAS_REVIEW,r-NnSC5dmz3C4VWf8nzYQ5kQ
b-pU7L-CQpl4syUwfEGAlb8g,HAS_CATEGORY,Indian
u-myT_nBsyzCWq5wmWtsDpBg,WRITE_REVIEW,r-gGBuSivsPsQygs8Sa1HxHw
u-Ai_edjBlEUalvELH00ADqQ,RATE,b-5eDg_Y2N6aU_k7tIxoFXTg
b-RE4qn28MEiDrM1PbdYVgxA,HAS_ASPECT,Service
u-OM_vkyg08Y-BbhJ8wffvVA,VISIT,b-ZJ0gQp0fcnIDiZv0m9--Gg
b-f6T2YaTfGoSyQV-l4jzrjw,HAS_MENU,Saag
b-P4zWgzYzy03D9LeDTpKuDg,HAS_MENU,Dosa
b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Okra
b-7xA6iSP0Ndn08tpBFQtUKA,HAS_REVIEW,r-2KBv0wrm1R561l6AacAtOA
b-V_jIfMz9Z7a5mthleRq0_w,IS,Decent
u-gyS1Ef3KamhVeyFhk4nqeQ,WRITE_REVIEW,r-n5SfVUQ32nlu-mi7oS1t-A
b-ZNdV9ytExuxPTXSN8i2xhw,HAS_REVIEW,r-pyzEityq9uvcETFV3Qslpw
u-SCe2nY8q7x1Lozwf4tqU3w,WRITE_REVIEW,r-jdeXUl1zbo8Vsf0TENrYVA
b-xYpAg60oZVbOtSYgrOKBgQ,HAS_CATEGORY,Buffets
u-MGS4xcClMRZ2SYlmWdv5WQ,VISIT,b-NHDdAZJqS3cf_K6HYxoQ9w
b-ICUCAzUZFiWkYs7iCtNCQg,HAS_CATEGORY,Pakistani
u-u5PyGBu7Cw7fGxwQL2fL5Q,RATE,b-oVuZtlCFg_zF090Nhtp0Ow
u-iIgyi6cemWP753snEO9FCw,WRITE_REVIEW,r-tpTkBwMICuPQnHbAOqgxWg
b-DJuQgsoj-qmU0i5iTAa4aA,HAS_REVIEW,r-So9IvK-KipnI2kPPcF4-zQ
Chicken,IS,Good
u-kcvmNHcairyP4Uwq5ULhdA,VISIT,b-Q8uwArm4h8bhsqxw84Gd8w
u-eeM6rtfuF7PcA1VfgZchEw,RATE,b-0zTLMQOZhiCp9GFtegiFsw
u-2c0R5c7lCLq81N9hH70FAA,RATE,b-Dd1w7xR7Xs3bthwusgy33Q
u-2SnQLx5dzcdDUhTOg3lg4Q,VISIT,b-gw0ZS5b5RP3Lzr1BoCbALg
u-hnUImDHE2csgspptWhxdgw,WRITE_REVIEW,r-K4snBnpWd8iSKrm0b2pBxg
u-i9rbxxfK7z-STaby3rDSlA,WRITE_REVIEW,r-VHXIWbiKntnZbgtlyMDkOA
u-V-BbqKqO8anwplGRx9Q5aQ,VISIT,b-GC9Re0tKAnecMww3DB638g
Food,IS,Wonderful
Customer_Service,IS,Good
Service,IS,Great
b-V_jIfMz9Z7a5mthleRq0_w,HAS_ASPECT,Staff
b-k9PfKE7KfztoMpOSx25UpA,HAS_ASPECT,Staff
u-2Rl_CaaHwYoGLx6F0W1vaw,VISIT,b-ZJ0gQp0fcnIDiZv0m9--Gg
Atrocious,ASPECT_ATTR_FOR,b-nbf4o8gUP2y9JKFE2wBO2A
Service,IS,Poor
u-nie-JYFTdUp04tlH527SDQ,WRITE_REVIEW,r-BOWZDZOQKKVJxDsbDOCRrQ
b-_PKXarw3GjlbwbXhjdpUMA,HAS_MENU,Chili_Chicken
u--d2daWmftYumOaYpbD5D8Q,WRITE_REVIEW,r-4NPXVZMS8RtoWjqVQtCvWg
u-VUfmBqviqPAAwrlVoVS1BA,RATE,b-oX6y1Jm1jYLoWifmIrtaSQ
u-3djzzKLhsa2oRq6RZRSEzQ,WRITE_REVIEW,r-75ConpeR9wiHD5Qg3QyWJg
Fantastic,MENU_ATTR_FOR,b-3wJ4kJsJhayyfJ30HsS04g
b-8PZGCtgG5MZKvz9i3B9gCA,HAS_MENU,Chicken_Wrap
u-eeeOWlcasXkFo7EN6ZSOMg,VISIT,b-S4qUsi44l5D9BbUCkhwQEA
b-Dh2Z3WNu6M71LbMNHEeg3w,HAS_REVIEW,r-RDkE1pEXGOgR1Ng1jTKG7g
u-nnw9gZhqO4ja_hwoIrDzog,RATE,b-0zTLMQOZhiCp9GFtegiFsw
b-ZJ0gQp0fcnIDiZv0m9--Gg,HAS_ASPECT,Food
b-MMOEaEcq-bsg_RYWHSC4_g,HAS_MENU,Bread
b-De8Z9rLZOmf-icp3gDxCZA,HAS_MENU,Butter_Chicken
u-7P2IdshiNUpQq4FBvuO3pg,VISIT,b-hubbaEcYPYEZu5Ziz6i0lw
u-qIIY0NoQliH9YeRYMPV64A,WRITE_REVIEW,r-Zod_AguGNW2mk0EtouhTuw
u-60Y-uLBHsdliQACa4oBnxw,ORDER,Sambar
u-yYExRHYiXe23Pl1XNAxNGQ,RATE,b-vCx6uieEF0W0mKFK4sT3Yg
b-De8Z9rLZOmf-icp3gDxCZA,HAS_ASPECT,Service
u-wJPUis4ZokJrn1p3BHp8bA,RATE,b-UAXz2KC1aXpxzV-MLdXbmQ
Decor,IS,Tacky
b-j9YFHVQqxM_qKHIc4nck-A,HAS_ASPECT,Customer_Service
b-h-psPOmlY0mCOflb3S3rdQ,HAS_ASPECT,Food
u-xG_UtKXuRR-vXcPsqbZm7w,WRITE_REVIEW,r-E9WjTQw3S5ctRNmX4zc1Cw
Idli,IS,Amazing
Chicken,IS,Awesome
u-cNC1iVcgl5YHmOXTvN5zIw,ORDER,Mantra_Masala
Food,IS,Lukewarm
u-FNHVGt36p4t-w1PW8bCJug,ORDER,Butter_Chicken
b-XvuUYiJYAAiNC4AmdbBZ8g,HAS_REVIEW,r-PzujbGwfsRdCPDqQKyLxsg
Customer_Service,IS,Deplorable
u-tuDcXNqAks4oFPwPoQrkxg,VISIT,b-MMOEaEcq-bsg_RYWHSC4_g
u-o7uWhUQkR22qMBizmU8O1Q,WRITE_REVIEW,r-7LKgWLyq2xOSWP_KBRNXww
b-oX6y1Jm1jYLoWifmIrtaSQ,HAS_REVIEW,r-lbqrn-MF0bKx-SAIpfO7-A
Tasty,MENU_ATTR_FOR,b-eRZuxjnaMviiVyvhejwTBQ
Delicious,MENU_ATTR_FOR,b-f6T2YaTfGoSyQV-l4jzrjw
u-cfnq8BufKtd0YYCuCXzwKw,WRITE_REVIEW,r-im0iOHwJ-FRaVtYhWB6Y8Q
b-j9YFHVQqxM_qKHIc4nck-A,HAS_REVIEW,r-cDDZyNkNz0xHh8NoNcnBmw
b-c4qE3ygdEQUD9dZjganavA,HAS_ASPECT,Food
u-lGz_Am4D9NewdEvNHgz4-w,WRITE_REVIEW,r-2UuzA6DzdVbqFQ5QiR__ZA
b-DxbdfvNYPCyiLJDDPJK3Tg,HAS_ASPECT,Service
b-CB99Ifh4OnBTnuNdRjj_fQ,HAS_REVIEW,r-MwjHFlubkvf_JZj9rqpoew
u-It-sLq9NQMIl9tqdY31Tyg,VISIT,b-Dh2Z3WNu6M71LbMNHEeg3w
b-ICUCAzUZFiWkYs7iCtNCQg,IS,Expensive
u-_owXvZK3K_p5vEidEaUQhg,RATE,b-_X0M7EMx475KZSX9wAsmgg
Service,IS,Terrible
b-0zTLMQOZhiCp9GFtegiFsw,HAS_ASPECT,Food
u-zxXQgpt0hHK3OWYPf97ykw,RATE,b-gXLiBVCHIqoPEw2CaP3QmQ
u-G9qVg040Z9TRoLr2XPJWtA,VISIT,b-jb0-JZMt-6Khsh-VwsDtLQ
u-qB6k6ubk1B6SkJYOWbdhSw,WRITE_REVIEW,r-xNGiNU-2YwyGBki4gmheZw
b-DKqhCd3Vwl3CEo8vUHhLYg,HAS_ASPECT,Service
Perfect,MENU_ATTR_FOR,b-35KvoWbA3kEsdckaWqG3OA
u-mJBRmYWEs12js_wp1aOSHg,VISIT,b-qhKNZTtTT6GLnPzQny-v9Q
u-yfECTGBYb6IarwwNMm6zUA,RATE,b-rYziPPEILDXJ_F5uKR--YQ
u-yzUXuSyKNJcHpoPBcjjQIw,ORDER,Meat_Thali
u-qOdmye8UQdqloVNE059PkQ,WRITE_REVIEW,r-2hEPrgdKDEyS20GQ66FH2w
u-CVuHh4vm94TMAjt3nbEumg,WRITE_REVIEW,r-ClC_pa66IYdc1uLYnD_Mew
u-re6Tp9Q8nCKXOjggP8m1JA,WRITE_REVIEW,r-f2wKSFtK--YZ0TYzkuLnZA
b-De8Z9rLZOmf-icp3gDxCZA,HAS_MENU,Cauliflower
u-omX8yy0m_dZCnv3GJfYiSA,HAS,Food
u-gsDD6rsLb1QKWG2aLWv19Q,VISIT,b-DxbdfvNYPCyiLJDDPJK3Tg
u-jZMzkedESFMOyllimI8lrA,WRITE_REVIEW,r-sI2gcKvJ9eOrWlohG6w30Q
b-_PKXarw3GjlbwbXhjdpUMA,HAS_REVIEW,r-fjVCGnZz7HaslrgQJkP9Rg
u-hQ8zKPF90-hkLp_C_wYzsg,RATE,b-scM6rLQqoz5dEIgwz_JFsg
b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_REVIEW,r-SeLHIJem44VNc2MIshLh9g
u-S9BuuXMBSTkyISrSb0rG-g,VISIT,b-V_jIfMz9Z7a5mthleRq0_w
b-5eDg_Y2N6aU_k7tIxoFXTg,HAS_MENU,Garlic_Naan
b-Pzs43Fkub-6A9hA1zqpF_w,HAS_ASPECT,Food
Great,MENU_ATTR_FOR,b-y4z0iQZWN4R2Fk8SiPQU5A
b-5eDg_Y2N6aU_k7tIxoFXTg,HAS_ASPECT,Food
u-Ld_xQB6-NJKvNBPiGqQtug,RATE,b-S4qUsi44l5D9BbUCkhwQEA
b-or1daHtUK9b7sqFRPf62GQ,HAS_REVIEW,r-kDrKGc2vAXeE0DHjyUSr9A
b-V_jIfMz9Z7a5mthleRq0_w,HAS_ASPECT,Food
u-6tNME-MMEjhfv0si0imlhw,WRITE_REVIEW,r-Da5HN1j5j7UmqL08MIixrg
u-4s_ZvmdpimzjhGRPPBNyaA,RATE,b-gA4bnK91phT5FTzG4ki3Dw
u-GfBlSfHWrN7H91ImU4nYLA,VISIT,b-xYpAg60oZVbOtSYgrOKBgQ
u-P6rpdRwuwC9cTgaNnU1JaA,RATE,b-TTCZkfxt0GW8YUzdVe0PrA
u-GqLTKz0YsSkX-DTc9oHrBg,WRITE_REVIEW,r-rOXVmhXjPCzKjpW9GnTS4A
b-0zTLMQOZhiCp9GFtegiFsw,HAS_MENU,Mint_Chutney
b-ICUCAzUZFiWkYs7iCtNCQg,HAS_REVIEW,r-Gg5w618t67xXxHMijuVUWg
u-gr-fEOL5xQj7Rt42hBbxDg,VISIT,b-gsc1j3RZQdScBnULSwaV9A
u-pZVxKioyk_4KBquQpwgP9Q,VISIT,b-ZDx7kt4aOPTlmYTqXDrTGA
Bland,MENU_ATTR_FOR,b-DeI4KqEeWy0cTdh7Wy5_RA
u-di9iIaFNNnQJpYtUZq5MHQ,RATE,b--p-CuUMzN0HQz9OCQ8SZOA
u-tw-F1CUvdukzlfxLqgmXWw,WRITE_REVIEW,r-P1r8XLgOIyLA2F7tNW_4Ww
b-W_9ophRRWO924hn1S-y2Hg,HAS_ASPECT,Service
Price,IS,Unusual
Friendly,ASPECT_ATTR_FOR,b-sUGlSS0AF2xPYFEjvKJbSA
b-Dd1w7xR7Xs3bthwusgy33Q,HAS_REVIEW,r-BOV5SAYaqMCFbJQphdzjIQ
b-ZJ0gQp0fcnIDiZv0m9--Gg,HAS_ASPECT,Service
u-KbwOwQZTOfrtaeJdmucALQ,WRITE_REVIEW,r-GJ4Qt8phZAW1AqXGvoVjcA
u-m0_W4iHkNZddR0msFtXI4w,VISIT,b-k9PfKE7KfztoMpOSx25UpA
u-sevuUDFe6hw9Xy5QcyzQFw,RATE,b-qMw7mFHAjgG7qN82aXmeZg
b-XNL6PRXaQxyDO2yeBdy11w,HAS_REVIEW,r-XTH7Qs2Dlm3PAq8E3Qdncw
u-oSXPH5X6fv4aNG3lGSI9vQ,VISIT,b-h-psPOmlY0mCOflb3S3rdQ
b-yy_FhzQCeLreV21OBccPAg,HAS_REVIEW,r-ZraD18L8EXNcqJvXfU8I_A
Goat,IS,Tender
b-7xA6iSP0Ndn08tpBFQtUKA,HAS_ASPECT,Food
Seafood,IS,Great
b-DeI4KqEeWy0cTdh7Wy5_RA,HAS_REVIEW,r-0sjyLgvoOILkh8PJrLJzhg
Service,IS,Prompt
b-De8Z9rLZOmf-icp3gDxCZA,HAS_REVIEW,r-yB3NL2DHdNsx11kXeiXeSQ
u-p9GBbKZXRk4Pici-quDB0A,RATE,b-Eu-M3y8a5bIxIRXlCj9yHA
u-6V2QVNLboiRQ5QRHyUDqjg,WRITE_REVIEW,r-3ZiEZpwbJ3qHORdYeQ62Qg
u-kR1er75QP_E4xBBFlrbAYA,RATE,b-Dd1w7xR7Xs3bthwusgy33Q
Good,MENU_ATTR_FOR,b-bO_JX-lDo5D5JGZhK5Ly3A
u-aQXwvE9GXXNuc4WM1gPwpQ,RATE,b-Pzs43Fkub-6A9hA1zqpF_w
b-j4ytRzcmtU4cLMBrhY7jMA,HAS_ASPECT,Staff
u-X5WIMBLD0xi5QT6XnWC1zw,VISIT,b-oVuZtlCFg_zF090Nhtp0Ow
u-Vx_JbcqF773BIShr_Ux2Hw,WRITE_REVIEW,r-go-WbT8-lniKhimOvWQK3Q
u-gv2OUoYd5wfwjC2t2Rh7OA,VISIT,b-De8Z9rLZOmf-icp3gDxCZA
b-ICUCAzUZFiWkYs7iCtNCQg,HAS_ASPECT,Food
u-tXiNQfCEbGYPnEzn7GVMpw,RATE,b-XvuUYiJYAAiNC4AmdbBZ8g
Great,ASPECT_ATTR_FOR,b-BoiAZQB9AHRvazM055GFOw
u-3p66LPQoaDIrA7fMoq9t8A,VISIT,b-_PKXarw3GjlbwbXhjdpUMA
b-RE4qn28MEiDrM1PbdYVgxA,HAS_REVIEW,r-d9_uFV96T1pvXPN-DpXYHw
b-TAnzFr9NixvCbvUdJMWL5Q,HAS_ASPECT,Food
u-qk1FM83yW09dP7HYmTOacw,HAS,Food
u-H2Qgk1-N5myYfjUNWu5CFQ,RATE,b-jb0-JZMt-6Khsh-VwsDtLQ
Sweet,MENU_ATTR_FOR,b-OZwMMnRncrp7_uC-N3vV1Q
u-_1SKSmLqpHBqWh09DxQMfw,VISIT,b-De8Z9rLZOmf-icp3gDxCZA
Good,ASPECT_ATTR_FOR,b-pU7L-CQpl4syUwfEGAlb8g
b-jb0-JZMt-6Khsh-VwsDtLQ,HAS_MENU,Roti
b-xA6L2w_TlbxHubb1xeBE8w,HAS_MENU,Lamb_Vindaloo
Staff,IS,Friendly
b-5VOqWjRXUPc7b1A_NSI9mQ,HAS_REVIEW,r-mPDnSS7US1nvWTIlPoRUcQ
High,ASPECT_ATTR_FOR,b-LZWXP-D4YPlzsFjVx6b9XA
u-P8jmRph25j1PxG6__HKDJg,WRITE_REVIEW,r-WtIO7NPLFq3ULWsRbqBoeQ
