,subject,predicate,object
4679,u-owlUazXSDLaxlOV7z8181g,VISIT,b-LwXo16VrGPhhOWc_Wj7ifw
4680,u-RmiKdzXAb9Ai8csbGCCO1g,WRITE_REVIEW,r-LIecaHK4QaRyYVGRPNvHXg
4681,u-Fk3Io6ZVH0ExuUHd11jUnQ,ASKED,b-LwXo16VrGPhhOWc_Wj7ifw
4682,u-BqfuGe5WArDlecdotCE7WA,WRITE_REVIEW,r-JmaIRCVHRZZMkpacl6J2ng
4683,u-Uaqawx2iD0mT5YP_akJrJw,VISIT,b-mOsKIonnlHllP9gfbXdgnQ
4684,u-zHU5uBo_UMGao4wwwiTOfA,RATE,b-3wJ4kJsJhayyfJ30HsS04g
4685,b-TAnzFr9NixvCbvUdJMWL5Q,HAS_REVIEW,r-os9VefeT_t0NWOzC--MrgQ
4686,b-8PZGCtgG5MZKvz9i3B9gCA,HAS_ASPECT,Food
4687,b-CB99Ifh4OnBTnuNdRjj_fQ,HAS_ASPECT,Food
4688,Customer_Service,IS,Great
4689,u-jfaz1aQqnkbtzQfQyCE8IA,VISIT,b-CB99Ifh4OnBTnuNdRjj_fQ
4690,b-_PKXarw3GjlbwbXhjdpUMA,HAS_ASPECT,Price
4691,u-dIkjYbzNoOXCGvWbXY1wJg,VISIT,b-SxuD7iY8QO88PNbSdNmNKg
4692,u-j-cuXY8PYuz0Yq_VnbM61Q,WRITE_REVIEW,r-hnOsRdNWvFdTv3z9DoK89g
4693,Service,IS,Good
4694,Gobi,IS,Delicious
4695,b-oVuZtlCFg_zF090Nhtp0Ow,HAS_MENU,Mango_Lassi
4696,u-7kfJk_NtOslC9jPk2Koz3g,WRITE_REVIEW,r-WjQAmFICuNcC8SSJRQP24A
4697,b-MMOEaEcq-bsg_RYWHSC4_g,HAS_MENU,Lamb_Qorma
4698,u-fnFhRNs4Jt6Z9mP4ZXxNsg,VISIT,b-xYpAg60oZVbOtSYgrOKBgQ
4699,u-lvbPRZ6ruEjm38_QMivaBg,VISIT,b-8PZGCtgG5MZKvz9i3B9gCA
4700,Food,IS,Delicious
4701,b-DJuQgsoj-qmU0i5iTAa4aA,HAS_REVIEW,r-ADo8WeSxpfcsP-c-tf7eLQ
4702,u-5DqsNskQSkRYvXXVEpg6Mw,VISIT,b-DeI4KqEeWy0cTdh7Wy5_RA
4703,Rice,INCLUDED_IN,Price
4704,u-tSMlrwxjCnljiDnqH8EL1Q,VISIT,b-V_jIfMz9Z7a5mthleRq0_w
4705,b-f6T2YaTfGoSyQV-l4jzrjw,HAS_REVIEW,r-UsV3rlzbwuLsbprx6D0Sqg
4706,b-MgsOZpYSntKSCzNROiWgYQ,HAS_MENU,Vegetable_Pakora
4707,u-AN0Qmf5UTKrwgn8C3-eGhg,ORDERED,Price
4708,Pricey,MENU_ATTR_FOR,b-DKqhCd3Vwl3CEo8vUHhLYg
4709,b-xA6L2w_TlbxHubb1xeBE8w,HAS_REVIEW,r-caMNvaFTckMqlWfL8N69og
4710,Available,MENU_ATTR_FOR,b-S4qUsi44l5D9BbUCkhwQEA
4711,Food,IS,Fantastic
4712,u-NHNI2F-xCzx_-3MWOMFfog,WRITE_REVIEW,r-KDFrOyamyvVHwRlFBFy7aA
4713,Nice,ASPECT_ATTR_FOR,b-De8Z9rLZOmf-icp3gDxCZA
4714,b-S4qUsi44l5D9BbUCkhwQEA,HAS_ASPECT,Service
4715,u-9jaBZ5IVnaf61AhGtEESgw,RATE,b-DKqhCd3Vwl3CEo8vUHhLYg
4716,u-Pkhgw3isev-r-OtP6Fg1dQ,RATE,b-gXLiBVCHIqoPEw2CaP3QmQ
4717,Garlic_Naan,IS,Great
4718,u-FNHVGt36p4t-w1PW8bCJug,WRITE_REVIEW,r-Q4_v-9qbMgWiM80phkapWA
4719,Food,IS,Fresh
4720,Good,MENU_ATTR_FOR,b-xA6L2w_TlbxHubb1xeBE8w
4721,u-I_hZOak13ydnfXV1nJPDTg,RATE,b-dg4EMyM1feTEWfLPSbunrg
4722,b-eRZuxjnaMviiVyvhejwTBQ,HAS_REVIEW,r-WNB_lz8zxeT6BXh_xCTmVw
4723,u-rVe49jbsZ1UbPy4v7_eXOg,RATE,b-gw0ZS5b5RP3Lzr1BoCbALg
4724,Food,IS,Good
4725,u-BNKnI-M9c9Gtvjga9Vk4kw,RATE,b-xYpAg60oZVbOtSYgrOKBgQ
4726,u-ehAvwDt4Fpsz9KPordu5lA,VISIT,b-LwXo16VrGPhhOWc_Wj7ifw
4727,u-dh-HgoOBS-Ixo29Ssir-KQ,VISIT,b-0zTLMQOZhiCp9GFtegiFsw
4728,u-iTIrVSrs6e6u78YcpWzlOg,VISIT,b-xSuR0FK8cHzBLXowCV3Pyw
4729,Fresh,ASPECT_ATTR_FOR,b-xYpAg60oZVbOtSYgrOKBgQ
4730,u-plOnLo8TTsLSs9jB8LxGzA,VISIT,b-k9PfKE7KfztoMpOSx25UpA
4731,u-m0uVfBkFiTbzg1GedPmBug,WRITE_REVIEW,r-ljiL5rP3OPPJHtKSVr3AHw
4732,Service,IS,Excellent
4733,b-sUGlSS0AF2xPYFEjvKJbSA,HAS_ASPECT,Staff
4734,u-BhpuVGeXhC_f3nG7J2MAJw,VISIT,b-oX6y1Jm1jYLoWifmIrtaSQ
4735,u-CUtWutWdXJd8tLOiQNr80A,WRITE_REVIEW,r-yYoarMrDzdabNztwavOSVw
4736,b-y4z0iQZWN4R2Fk8SiPQU5A,HAS_MENU,Sesame_Crispy_Beef
4737,b-8grTRpmD9JYRPWayoLxg0w,HAS_CATEGORY,Indian
4738,u-SNKItb2KLMr6D_I5HcCvIA,RATE,b-MMOEaEcq-bsg_RYWHSC4_g
4739,Fresh,MENU_ATTR_FOR,b-BxkVct02QHybp54ATZgkUQ
4740,u-hrThx_nXKfdElLbpF-8V3g,VISIT,b-DJuQgsoj-qmU0i5iTAa4aA
4741,b-NHDdAZJqS3cf_K6HYxoQ9w,HAS_ASPECT,Price
4742,b-35KvoWbA3kEsdckaWqG3OA,HAS_MENU,Spinach_Dal
4743,Afghani_Bread,DIPPED_IN,Sauce
4744,b-SxuD7iY8QO88PNbSdNmNKg,HAS_MENU,Chaat_Dosa
4745,u-whqfWVBj4x5EDboIVDOymQ,VISIT,b-rYziPPEILDXJ_F5uKR--YQ
4746,u-Vzp9gtV2SgBZEOnckCAExg,WRITE_REVIEW,r-FlUV7ZBRq2Hr6e0wkm7x6A
4747,b-sUGlSS0AF2xPYFEjvKJbSA,HAS_ASPECT,Food
4748,u-wJPUis4ZokJrn1p3BHp8bA,WRITE_REVIEW,r-1OAiLoLDd2-EpB_AkSsqXA
4749,u-3YAsLpbykHxYKunBpIjGNQ,HAS_FRIEND,u-qewG3X2O4X6JKskxyyqFwQ
4750,u-oVLfMJMXgqZBe8sMXySYHA,RATE,b-Eu-M3y8a5bIxIRXlCj9yHA
4751,Tasty,MENU_ATTR_FOR,b-vCx6uieEF0W0mKFK4sT3Yg
4752,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Price
4753,u-pDNAfi0DafmDw9fFYBrw-w,VISIT,b-xSuR0FK8cHzBLXowCV3Pyw
4754,Slow,ASPECT_ATTR_FOR,b-W_9ophRRWO924hn1S-y2Hg
4755,b-sUGlSS0AF2xPYFEjvKJbSA,HAS_ASPECT,Ambience
4756,Slow,ASPECT_ATTR_FOR,b-P4h8kgy_48oE9vCHJc4BCQ
4757,u-_1SKSmLqpHBqWh09DxQMfw,RATE,b-De8Z9rLZOmf-icp3gDxCZA
4758,b-pU7L-CQpl4syUwfEGAlb8g,HAS_REVIEW,r-2K0IG6wtBsxRo-s-6m6F_A
4759,u-rjHifu1-nXMoDlFUQryi1w,RATE,b-35KvoWbA3kEsdckaWqG3OA
4760,Fresh,MENU_ATTR_FOR,b-k9PfKE7KfztoMpOSx25UpA
4761,b-MgsOZpYSntKSCzNROiWgYQ,HAS_REVIEW,r-aXe4CbWIpY7A2WqSYD3Nvg
4762,u-ACxJcxfJyAiEqMvOlx1EYQ,VISIT,b-W_9ophRRWO924hn1S-y2Hg
4763,Garlic_Naan,IS,Tough
4764,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_MENU,Bengan_Bharta
4765,u-MH3WhxGbzCKWT10aeHHfFQ,RATE,b-ZNdV9ytExuxPTXSN8i2xhw
4766,b-h-psPOmlY0mCOflb3S3rdQ,HAS_MENU,Malia_Kofta
4767,b-35KvoWbA3kEsdckaWqG3OA,HAS_MENU,Chai
4768,b-LwXo16VrGPhhOWc_Wj7ifw,HAS_REVIEW,r-CC5K-08TSFxp3WkGNTRM9w
4769,u-t_fiqKCMYUXa9aahze1qFA,ORDER,Chicken_Vindaloo
4770,Staff,HAVE,Favorite
4771,b-xSuR0FK8cHzBLXowCV3Pyw,HAS_MENU,Sweets
4772,u-3ITM3PW5Vm66UaomB2lm7w,WRITE_REVIEW,r-83hpJuWM33hri5z-_Q3VWA
4773,Reasonable,ASPECT_ATTR_FOR,b-yy_FhzQCeLreV21OBccPAg
4774,Samosa,IS,Great
4775,u-qtQOOYU5Ucyr0p3DnnS1LA,ENJOY,Food
4776,u-SB1sdwmbQNlXBmTIJQ1oLA,WRITE_REVIEW,r-gTj4q-Bovau-ouZIPthL3Q
4777,b-jb0-JZMt-6Khsh-VwsDtLQ,HAS_CATEGORY,Indian
4778,b-MgsOZpYSntKSCzNROiWgYQ,HAS_REVIEW,r-0URwRzJ9He5VvgZl9Uqysg
4779,b-xYpAg60oZVbOtSYgrOKBgQ,HAS_ASPECT,Food
4780,u-mJBRmYWEs12js_wp1aOSHg,VISIT,b-qhKNZTtTT6GLnPzQny-v9Q
4781,b-kfwpXBsMQLqhUvscWB6b9g,HAS_REVIEW,r-76KGN8o4eHyw476a1ZGYhA
4782,u-MH3WhxGbzCKWT10aeHHfFQ,TRIED,Needle
4783,u-5QFws6LKMCZCgKHl8WR1jQ,RATE,b-gw0ZS5b5RP3Lzr1BoCbALg
4784,u-_O6Q4ScLO4-FVieEzCibXA,VISIT,b-BoiAZQB9AHRvazM055GFOw
4785,b-8PZGCtgG5MZKvz9i3B9gCA,HAS_REVIEW,r-GOiea4f0m6C3iVcmerFpjA
4786,b-mOsKIonnlHllP9gfbXdgnQ,HAS_ASPECT,Staff
4787,u-X5whw8WcB8dVZGZ5vGnSLg,WRITE_REVIEW,r-GLu3BWHTN8G7dCjnq_-W7g
4788,Price,IS,Reasonable
4789,u-f--ona4DuvVKoKoumX4Tyg,WAITING_FOR,b-ZJ0gQp0fcnIDiZv0m9--Gg
4790,u-Fjk3fN9-X5Hd1n5-pwoO0w,RATE,b-eRZuxjnaMviiVyvhejwTBQ
4791,Baigan,IS,Solid
4792,b-BoiAZQB9AHRvazM055GFOw,HAS_REVIEW,r-T1w6btg74adejBN3f8Qnzg
4793,u-oJbCkhIpU-i5xYx5wCAkkw,VISIT,b-V_jIfMz9Z7a5mthleRq0_w
4794,u-fnFhRNs4Jt6Z9mP4ZXxNsg,ORDER,Kheer
4795,b-Dd1w7xR7Xs3bthwusgy33Q,HAS_MENU,Eggplant
4796,Food,IS,Delicious
4797,u-fVAtXHil33Mwk2vETayyUg,RATE,b-_PKXarw3GjlbwbXhjdpUMA
4798,u-jxr4c-TH10Rgz3IqG6rgPQ,RATE,b-_X0M7EMx475KZSX9wAsmgg
4799,Disappointing,MENU_ATTR_FOR,b-_X0M7EMx475KZSX9wAsmgg
4800,b-BxkVct02QHybp54ATZgkUQ,HAS_MENU,Tandoori_Wings
4801,b-y4z0iQZWN4R2Fk8SiPQU5A,HAS_MENU,Mango_Lassi
4802,Hot,MENU_ATTR_FOR,b-UAXz2KC1aXpxzV-MLdXbmQ
4803,b-jb0-JZMt-6Khsh-VwsDtLQ,HAS_REVIEW,r-7Ue6nkQJT3x9reHGN_GZnw
4804,u-J7iJ3EZWyUIcZRDjki4NEA,VISIT,b-TAnzFr9NixvCbvUdJMWL5Q
4805,b-YywWkWX235ZurTWSLqNPog,HAS_REVIEW,r-OoP1OekvV0lhF9QgTn9bIA
4806,u-xuZRkrpwxcnA4WnFIhmUGQ,DISCOVERED,b-Eu-M3y8a5bIxIRXlCj9yHA
4807,Friendly,ASPECT_ATTR_FOR,b-k9PfKE7KfztoMpOSx25UpA
4808,u-U5YQX_vMl_xQy8EQDqlNQQ,RATE,b-UAXz2KC1aXpxzV-MLdXbmQ
4809,b-8PZGCtgG5MZKvz9i3B9gCA,HAS_MENU,Samosa
4810,Fair,ASPECT_ATTR_FOR,b-f6T2YaTfGoSyQV-l4jzrjw
4811,u-ibR7A7zUsNrEFb61xELiJQ,WRITE_REVIEW,r-1EV0u8C7uH1wF9LqaXc14Q
4812,b-3frFidAcPVYAFB2RxxkIdA,HAS_REVIEW,r-FBsd9YVbqzNApO7GObCCXA
4813,u-w5vwXnekNjKLzDRj5ROK5g,VISIT,b-XvuUYiJYAAiNC4AmdbBZ8g
4814,u-BPrD6g3UPbKqB4C9-Dv-0Q,TRIED,Food
4815,b-ICUCAzUZFiWkYs7iCtNCQg,HAS_REVIEW,r-Gg5w618t67xXxHMijuVUWg
4816,u-9MD2Ry2jQ08z1_4VKpEmfQ,VISIT,b-COfzp0tze_F8N13zn40zzg
4817,u-gjlcSQDafNqPbYA0q7pwuA,WRITE_REVIEW,r-HL8Mvde0L3Wx5BnQoIRFQg
4818,Food,IS,Incredible
4819,b-kfwpXBsMQLqhUvscWB6b9g,HAS_REVIEW,r-n2Qv911MhCSnel6Ls7lUxw
4820,Richmond_Hill-Canada,LOCATED_IN,Canada
4821,u-uRcZURC3ituvPT0en9l3xA,WRITE_REVIEW,r-4pUquqyJCjEylCKwuk_DBA
4822,Good,MENU_ATTR_FOR,b-p-J9iJgeHmPGk2jFAM0WnA
4823,u-LGXlkLvjylax593u-evS7w,VISIT,b-xA6L2w_TlbxHubb1xeBE8w
4824,Service,IS,Prompt
4825,u-Ht14IxSbuoK_mHppKdmN0w,RATE,b-MMOEaEcq-bsg_RYWHSC4_g
4826,u-ZvmC522FAwxt8qT1jxqliw,VISIT,b-CB99Ifh4OnBTnuNdRjj_fQ
4827,u-Gb3wDY_ly8ksqM0U7hh3Gw,ORDER,Naan_Bread
4828,u-R53BsPalQFweaQWQGZUjSw,WRITE_REVIEW,r-O-va7pkt0ub8ZMFXHW6J1w
4829,u-gUlG-5PuBegHXQpk3E-pwA,WRITE_REVIEW,r-sDVN2JdXP8Z5BqaM_J7MLw
4830,u-ScNwktT62pUZ1lf_k2no2A,RATE,b-8PZGCtgG5MZKvz9i3B9gCA
4831,Naan,IS,Dry
4832,b-SxuD7iY8QO88PNbSdNmNKg,HAS_ASPECT,Service
4833,u-amIZAs1U-ooyHYLdobV-UA,VISIT,b-ZNdV9ytExuxPTXSN8i2xhw
4834,u-eyKgIIoDqyId0AjTjS6hNg,WRITE_REVIEW,r-r_pkW0QKSW_oO93r2Lh5mA
4835,u-kR1er75QP_E4xBBFlrbAYA,HAD_AT,b-Dd1w7xR7Xs3bthwusgy33Q
4836,u-eTCLgp-llNjaSW75sFqBmQ,WRITE_REVIEW,r-i9hq5Cj4OwyWCvCkKPHtdA
4837,b-qcqDjeirxvdgW5kQVkEwSA,HAS_REVIEW,r-gjakWdhFrdInU2VdM9KgMw
4838,b-Q8uwArm4h8bhsqxw84Gd8w,HAS_REVIEW,r--a0qasyq6Tyorx8uxjDBkg
4839,Good,MENU_ATTR_FOR,b--p-CuUMzN0HQz9OCQ8SZOA
4840,Flavourful,ASPECT_ATTR_FOR,b-7xA6iSP0Ndn08tpBFQtUKA
4841,u-yg7bHpYebvqNnQN-4TBccQ,WRITE_REVIEW,r-8hyklN-PDItOzZJPMud9ig
4842,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_ASPECT,Food
4843,u-XXVEuojRkBY-ffo97XSy8Q,LOVED,b-YywWkWX235ZurTWSLqNPog
4844,u-rRdhtqePilOUbSjIJz-h-w,WRITE_REVIEW,r-rXTcJdMuugbUWe2-9evA2Q
4845,u-sXTx8bMKxBnEPembJ-9Itw,RATE,b-8grTRpmD9JYRPWayoLxg0w
4846,b-8PZGCtgG5MZKvz9i3B9gCA,HAS_ASPECT,Food
4847,b-Pzs43Fkub-6A9hA1zqpF_w,HAS_REVIEW,r-Otlu26h-np13m9hz3Gvn2g
4848,b-ZJ0gQp0fcnIDiZv0m9--Gg,HAS_REVIEW,r-m5diwtLFafDvfWLGoE1wVw
4849,b-oX6y1Jm1jYLoWifmIrtaSQ,HAS_MENU,Paneer
4850,u-FkHx-2cM33pviW0ehCI6FA,WRITE_REVIEW,r-Y5VcVUyWaBh2QJBmWJXPtQ
4851,u-l7sZTLRUBK0k3xjRTj1CSA,ORDER,Matar_Paneer
4852,u-YlQDJExT8gHHcXMiv9geQw,RATE,b-qcqDjeirxvdgW5kQVkEwSA
4853,u-B-11345ED_wgO6DaunDiNg,WRITE_REVIEW,r-9kawg8TzQT7nyZYxg_-VhA
4854,Chicken_Dinner,IS,Dry
4855,u-xX2d5O4VNdaoLh0tbY8J-w,RATE,b-YywWkWX235ZurTWSLqNPog
4856,u-85EI4HGFJURnRUWQtqs2zw,VISIT,b-ICUCAzUZFiWkYs7iCtNCQg
4857,u-BSu2hEtBYvtADAEKiQrmiQ,WRITE_REVIEW,r-i1iB399wJvB-o9AUCQKnmA
4858,u-CY7Mtn1xuifQrI2S96BaQQ,VISIT,b-LZWXP-D4YPlzsFjVx6b9XA
4859,Helpful,ASPECT_ATTR_FOR,b-vCx6uieEF0W0mKFK4sT3Yg
4860,Friendly,ASPECT_ATTR_FOR,b-Q8uwArm4h8bhsqxw84Gd8w
4861,Brossard-Canada,LOCATED_IN,Canada
4862,u-hFDFHO70fyENIQ1bbtYufQ,WRITE_REVIEW,r-i5Idwlikx9aD1yiWHFxgUQ
4863,b-5eDg_Y2N6aU_k7tIxoFXTg,HAS_REVIEW,r-UfTPPkEfUsGig-lSEYYg-Q
4864,Issue,ASPECT_ATTR_FOR,b-sUGlSS0AF2xPYFEjvKJbSA
4865,u-v-R38AMN2ZZgr_iszlgc_Q,VISIT,b-MMOEaEcq-bsg_RYWHSC4_g
4866,u-htiVdsiY_rBmJc65aZ3YAA,WRITE_REVIEW,r-KaJmuSPTIuLhJ6B45CU_sA
4867,u-WX5KfRMzgSIjA_dbkrGnLw,WRITE_REVIEW,r-diBNn6e5hRD017Tp-4NIwg
4868,u-YuLT6PyL0wHDrArOPxdd7Q,VISIT,b-COfzp0tze_F8N13zn40zzg
4869,b-mOsKIonnlHllP9gfbXdgnQ,HAS_REVIEW,r-n5SfVUQ32nlu-mi7oS1t-A
4870,u-_xTI652PSfP1r3lSkymVrQ,PASSED_FOR,Years
4871,u-2eFPk8sQz6xy8i2cdCrQfg,WRITE_REVIEW,r-t2T_aEzQTYJb3-SzgjsCNQ
4872,u-3QrmJ2lThhAE4IgRePZMGw,WRITE_REVIEW,r-xDjr4PBVpV8-NpbGgXxTdw
4873,b-j4ytRzcmtU4cLMBrhY7jMA,HAS_MENU,Dinner
4874,u-RnkKZIKmP9adWDkntv_uaA,VISIT,b-f7RXwcus_-EOsR0q5ctVjw
4875,b-xA6L2w_TlbxHubb1xeBE8w,HAS_ASPECT,Staff
4876,b-dg4EMyM1feTEWfLPSbunrg,HAS_MENU,Chicken
4877,b-ZNdV9ytExuxPTXSN8i2xhw,HAS_ASPECT,Food
4878,b-eRZuxjnaMviiVyvhejwTBQ,HAS_ASPECT,Service
4879,u-HeiQX_tqWC6Vc6xUOJVlfA,WRITE_REVIEW,r-cqy1ChFLqCcWWH6OH2a-mA
4880,u-sn2p_WGpxu_cKUa8nEolgw,WRITE_REVIEW,r-eIzTDdUtT4TFJue2dH4eIQ
4881,b-DJuQgsoj-qmU0i5iTAa4aA,HAS_MENU,Mango_Lassi
4882,Free,MENU_ATTR_FOR,b-XvuUYiJYAAiNC4AmdbBZ8g
4883,u-dfB-XW_RwAcIKmFrZK7U1A,WRITE_REVIEW,r-IfdD2fX-ob1zTVKDdC4RYQ
4884,u-55aexqeN_FBQfq3IVWuFbQ,VISIT,b-Pzs43Fkub-6A9hA1zqpF_w
4885,Good,ASPECT_ATTR_FOR,b-0cf-w9PK5gLkBkitL3bdqw
4886,u-SfPABnVQF13kQHZRbOVY_g,WRITE_REVIEW,r-4IO1PPC0xe1wndTV0seZ4w
4887,b-rYziPPEILDXJ_F5uKR--YQ,HAS_ASPECT,Service
4888,Samosa,IS,Cheap
4889,Food,IS,Superb
4890,u-yqDixbt-4M-9dL0OYjbN5w,ORDER,Chicken
4891,b-XvuUYiJYAAiNC4AmdbBZ8g,HAS_ASPECT,Food
4892,u-l5FI5i_ofdykPF108azphg,WRITE_REVIEW,r-Ikp04Lci4Af-QmGLsJFwuw
4893,u-SQSHdmBKa6O8GwVnQoq8sg,RATE,b-BxkVct02QHybp54ATZgkUQ
4894,Good,ASPECT_ATTR_FOR,b-nbf4o8gUP2y9JKFE2wBO2A
4895,u-TpRHPFzZcp6XqZ7rysKbUA,WRITE_REVIEW,r-9uZlcUuckfmZZBv6DMtcuA
4896,b-7vgWonwfqRt9pxR1c00Ulw,HAS_ASPECT,Food
4897,b-BxkVct02QHybp54ATZgkUQ,HAS_MENU,Biryani
4898,u-VkctVLKkWN4LXI6XEHQy0g,WRITE_REVIEW,r-ZAdh7HmKF-MgDe8OkyWrrA
4899,u-vlou5a25r_5D5Pk2Yk3NLw,RATE,b-LwXo16VrGPhhOWc_Wj7ifw
4900,u-7cXbD-R599rW6AdE1ELXZw,RATE,b-oX6y1Jm1jYLoWifmIrtaSQ
4901,b-j4ytRzcmtU4cLMBrhY7jMA,HAS_MENU,Dosa
4902,Food,IS,Hot
4903,b-DxbdfvNYPCyiLJDDPJK3Tg,HAS_ASPECT,Service
4904,b-5eDg_Y2N6aU_k7tIxoFXTg,HAS_REVIEW,r-y9uO0KA7Nx90Z45MdQdqUQ
4905,u-Vl4t_hvukngrrcKZhJKRTw,RATE,b-XvuUYiJYAAiNC4AmdbBZ8g
4906,b-0cf-w9PK5gLkBkitL3bdqw,HAS_REVIEW,r-iD8V3yofoZe5pA62ZILMAA
4907,Expensive,ASPECT_ATTR_FOR,b-3wJ4kJsJhayyfJ30HsS04g
4908,u-omX8yy0m_dZCnv3GJfYiSA,TALKING_TO,Bartender
4909,u--1aYNZASC1lkA09LJtfNAA,ORDER,Salad
4910,u-47R5xhLhoprA8xYkS21x9Q,RATE,b-CvOxwAhmwwy3sQRKYVAjGg
4911,Pakora,IS,Delicious
4912,u-p9RQX58PLPY5RiSNgKBuFQ,VISIT,b-DJuQgsoj-qmU0i5iTAa4aA
4913,u-gjlcSQDafNqPbYA0q7pwuA,VISIT,b-gw0ZS5b5RP3Lzr1BoCbALg
4914,b-35KvoWbA3kEsdckaWqG3OA,HAS_REVIEW,r-TKCNXpi4VCrKVWkmD0GM2Q
4915,u-GMvzY8qTWyCkJuw37yEYmA,RATE,b-7xA6iSP0Ndn08tpBFQtUKA
4916,u-XQEWusYp6BFTaQOgWsJD-Q,WRITE_REVIEW,r-buCLfHQDp6LVrnuS4slpoA
4917,b-tIXpNWE6R1yadAThbSefHw,HAS_MENU,Cashew_Chicken
4918,u-1WOxmH-VsNOqm9PMmkObFw,VISIT,b-kG0N5urz2lkPEBDPjqFR3w
4919,b-YywWkWX235ZurTWSLqNPog,HAS_MENU,Rice
4920,u-_lg4iHMQyscfknijiErV0Q,VISIT,b-xYpAg60oZVbOtSYgrOKBgQ
4921,u-YwIVKq6_Wqi2V4xvyEWPEQ,VISIT,b-jb0-JZMt-6Khsh-VwsDtLQ
4922,u-NzqJBFA6QdOKBv1dIkTLDA,ORDER,Lamb
4923,u-IZXnSMdOkVdFH-mw6zQBbA,VISIT,b-rYziPPEILDXJ_F5uKR--YQ
4924,Good,ASPECT_ATTR_FOR,b-CB99Ifh4OnBTnuNdRjj_fQ
4925,b--p-CuUMzN0HQz9OCQ8SZOA,HAS_REVIEW,r-WZ6WjWgnQ8G5BoL58XaMmw
4926,u-dhiHHGef4l7-L_F7yoaxDQ,WRITE_REVIEW,r-SF3BuU_1d3E1e00__nI8cA
4927,u-gQC1yHLw8WYEWl2lhcTkdQ,VISIT,b-Dd1w7xR7Xs3bthwusgy33Q
4928,Dry,MENU_ATTR_FOR,b-k9PfKE7KfztoMpOSx25UpA
4929,u-zpwWpno3U-oZaG3AJuKqSQ,RATE,b-hubbaEcYPYEZu5Ziz6i0lw
4930,b-Ksk5cLav4OtbUtpRGp5b4g,HAS_REVIEW,r-rXTcJdMuugbUWe2-9evA2Q
4931,u-qOn1VFThKD5y5zrFEQXpGA,WRITE_REVIEW,r-3pjESwt6qI-sLZl3LmnFyg
4932,b-yy_FhzQCeLreV21OBccPAg,HAS_REVIEW,r-Wsh2m3ZQEH1_nTgFdcIKeQ
4933,b-y4z0iQZWN4R2Fk8SiPQU5A,HAS_MENU,Soup
4934,u-xyejFqAoTRp_SULjJ2Lgpg,WRITE_REVIEW,r-tipn_fKY6fEBdO807A2TMQ
4935,u-87OjX_FYEwJKkDLU3UEpkA,WRITE_REVIEW,r-pGIisJe3eCqcYM8MIABDHg
4936,u-4pCvRmbz0jHoeo4kPisdCg,RATE,b-3wJ4kJsJhayyfJ30HsS04g
4937,u-225bmqlNWVUEuytJAQnysw,RATE,b-W_9ophRRWO924hn1S-y2Hg
4938,b-35KvoWbA3kEsdckaWqG3OA,HAS_MENU,Pakora
4939,u-pDJfDB4wsLhLsO95aa0qFg,RATE,b-TAnzFr9NixvCbvUdJMWL5Q
4940,Friendly,ASPECT_ATTR_FOR,b-35KvoWbA3kEsdckaWqG3OA
4941,Bombay_Chicken,IS,Worth
4942,u-FNHVGt36p4t-w1PW8bCJug,VISIT,b-DKqhCd3Vwl3CEo8vUHhLYg
4943,u-if3b1CBDBDJYnGo_hXtHDg,HAS,Food
4944,Delicious,MENU_ATTR_FOR,b-ZDx7kt4aOPTlmYTqXDrTGA
4945,u-c8qFkI_VusWo0xZvkjfBWQ,RATE,b-3frFidAcPVYAFB2RxxkIdA
4946,Hot,MENU_ATTR_FOR,b-YywWkWX235ZurTWSLqNPog
4947,u-XkCwqx1moKGJFYNozHLUiw,WRITE_REVIEW,r-NITPHbzejt7opvZVBcXf0w
4948,b-V_jIfMz9Z7a5mthleRq0_w,HAS_REVIEW,r-eTjnjmraNxJhvSMbjr5d8A
4949,u-3bWTUkL1Wb5TEJJ9yDVqDQ,VISIT,b-gXLiBVCHIqoPEw2CaP3QmQ
4950,Tender,MENU_ATTR_FOR,b-Q8uwArm4h8bhsqxw84Gd8w
4951,b-xA6L2w_TlbxHubb1xeBE8w,HAS_ASPECT,Service
4952,b-vCx6uieEF0W0mKFK4sT3Yg,HAS_MENU,Tapas
4953,u-1_cEjUy1_a2HUNp8_5oaGA,WRITE_REVIEW,r-6agge8R5MESsn8xBKyQJGw
4954,b-De8Z9rLZOmf-icp3gDxCZA,HAS,Masala
4955,u-8oml7qh4oTsted_TNMzH6A,HEAR_ABOUT,Jalsa Ice Cream
4956,Welcome,ASPECT_ATTR_FOR,b-0cf-w9PK5gLkBkitL3bdqw
4957,u-snldDecrM7DsiBY_vEmGnQ,VISIT,b-gw0ZS5b5RP3Lzr1BoCbALg
4958,u-DpLsquKdybS2SJKSVvQYEw,RATE,b-gw0ZS5b5RP3Lzr1BoCbALg
4959,u-FJ2yu9Pf5LIYcncoRKyzFQ,WRITE_REVIEW,r-XTH7Qs2Dlm3PAq8E3Qdncw
4960,u-4_WuH-Sl81zUp6PJ1eLLSw,RATE,b-V_jIfMz9Z7a5mthleRq0_w
4961,u-IAlYZGVT_6B_BK8UrUYOkQ,WRITE_REVIEW,r-dvu2k2Rwb1hNCV7w3mcFcg
