rest_id,menus,aspects
b-y4z0iQZWN4R2Fk8SiPQU5A,tandoori chicken|Bombay Chicken|Singaporean Noodles|sauce|Chicken Pad Thai|pasta|Tandoori Chicken Chow Mein|chowmein|crispy beef|chicken|sesame beef|Sesame crispy beef|Chicken Pakora|Singapore rice noodles|Bombay paneer|tandoori chicken chow mein|Pakora|mango lassi|tofu|chilli chicken|veg pakora|soup|chow mein|Cashew Chicken|shrimp|beef|rice|Chilli Chicken|chili chicken|crispy|Hakka noodles,Staff|Service|Food|Menu|Price|Delivery
b-pU7L-CQpl4syUwfEGAlb8g,butter chicken|risotto|onion rings|Neapoliton Pizza|shrimp|pasta|Pizza|cheesecake|lamb|strawberry cheesecake|lamb curry,Staff|Service|Food|Menu|Price
b-ZNdV9ytExuxPTXSN8i2xhw,tikka masala|beef Wellington bites|Scotch Eggs|plain|cheese|Cheesecake|tikka|Tikka Masala|Cocktails|vegetarian curry|beef Wellington|vegetable curry|mimosa|jackfruit|cocktail|Chili Paneer|lamb chops|steak|pudding|Blackberry Bramble|pork|jackfruit curry|paratha|scotch eggs|noodles|Lamb lollies|dinner|Lamb Lollipops|dessert|beef tenderloin|Bread plate|malai|cocktails|Gobi Manchurian|gin cocktail|bread pudding|cauliflower|rice|tiki masala|mimosas|BBQ,Staff|Service|Customer_Service|Food|Menu|Decor|Price|Taste|Parking
b-8grTRpmD9JYRPWayoLxg0w,Chicken Biryani|dinner|butter chicken|beef vindaloo|Lamb Pieces|shrimp|sauce|Mutter|curry|Pakora|Mutter paneer|rice|Samosa|naan,Staff|Food|Menu|Taste|Delivery
b-j4ytRzcmtU4cLMBrhY7jMA,Dosa|Lassi|chutney|dosa|chocolate dosa|chicken|Madras Dosa|Sambar|sambar|Chilly Garlic Dosa|pickles|aloo parathas|sambhar|dinner|Chutney|masala dosa|tamarind rice|Crispy Dosa|Sambhar|Masala Dosa,Staff|Service|Customer_Service|Food|Ambience|Taste|Decor|Price
b-oVuZtlCFg_zF090Nhtp0Ow,tikka masala|lentils|Naan|yellow daal|masala bowl|Choolaah Salad|Samosa Chat|chaat|Paneer wrap|biryani|paneer|Samosa|Masala Sauce|mango|Pav bhaji|sauce|paneer pieces|chicken dish|curry|Tikki masala|chicken|salmon|Mango Lassi|Indian BBQ|salad|mint ginger|mango lassi|Pav Bhaji|Mango lassi|salmon tikka|basmati rice|Sauce|naan|chutney bar|pot pie|lamb balls|choolah bowl|tandoor|rice|roti|lamb meatballs|lamb|tiki masala|tandoori veggies,Staff|Service|Food|Ambience|Menu|Decor|Taste|Price|Parking
b-P4zWgzYzy03D9LeDTpKuDg,dinner|Chutney|Onion Rava Masala Dosa|Dosa|dosa|chocolate dosa|vada sambar|sambhar|crispy,Food|Staff|Service|Taste
b-f7RXwcus_-EOsR0q5ctVjw,tikka masala|butter chicken|lentils|Naan|Chicken tikka masala|Chicken Thali|chicken biryani|Chicken Vindaloo|beef korma|Chicken curry|tandoori shrimp|sauce|bread|Non-Veg Thali|Chana samosa|chicken|Chicken Tikka|wine|Pakora|soup|naan|Chicken Biryani|garlic naan|dinner|Daal Soup|vegetables|chicken tikka|lamb,Staff|Service|Food|Menu|Price|Delivery
b-NHDdAZJqS3cf_K6HYxoQ9w,butter chicken|cauliflower|mulligatawny soup|Samosa|Basmati Rice,Food|Menu|Service|Price
b-Q8uwArm4h8bhsqxw84Gd8w,tea|Lamb Kebab|Pulao Lamb Rice|lamb buns|Lamb Noodles Soup|Yangman noodles|Chicken kebab|Kebab|dumpling|sauce|Lamb Skewer|bread|chicken|salad|dapanji|lamb kebab|Tea|noodles|Dapanji|Roast Kidney|Lamb|lamb soup|rice|Rice|langman noodles|lamb|Noodles,Staff|Service|Customer_Service|Food|Menu|Take_Out|Taste|Food_Quality
b-0Hy2VE9tqTo4QbovMz3xrQ,Chicken Biryani|butter chicken|masala fish|Kebab|meatballs|Dal|rice|beef samosa|Batata Vada|chicken mishkaki|chicken|naan|Butter Chicken|meat thali,Staff|Service|Customer_Service|Food|Taste|Delivery|Food_Quality
b-AZKhBlrI5vgTBm3j9WwnbA,chilli fish|Shrimp Pakora|sauce|Vegetables|rice|tofu|fish|soup|chicken corn soup|chicken,Food|Service|Taste|Price
b-gsc1j3RZQdScBnULSwaV9A,Gobi|butter chicken|Korma|samosa|curry|Pakora|Lamb vindaloo|Daal Makhaani|Samosa|naan,Staff|Service|Food|Menu|Taste|Price|Food_Quality
b-dg4EMyM1feTEWfLPSbunrg,butter chicken|Paneer Tikka Masala|wine|Naan|Naan bread|Tandoori Chicken|chicken tikka|Biryani|chicken vindaloo|Samosa|chicken|raita|ground beef|Chicken Samosa,Staff|Service|Food|Menu|Taste|Price
b-W_9ophRRWO924hn1S-y2Hg,Dosa|chicken curry|tandoori chicken|vada|chaat|Chicken Chettinad|cottage cheese|chutney|bread|curry|fish|chicken|Malai kofta|wine|Hyderabadi Chicken Dum Biryani|curry sauce|naan|Chicken Biryani|dinner|garlic naan|dessert|Idli Vada|Chettinad|rice|vindaloo|Amber|Butter Naan|Ghee dosa|Raita|sambhar|egg dosa|Masala Dosa|Dum Biryani,Staff|Service|Food|Menu|Taste|Food_Quality
b-rYziPPEILDXJ_F5uKR--YQ,tikka masala|chole bhature|Pani Puri|yogurt|tamarind sauce|Aloo Tikki Chat|vada pau|roti|mango lassi|Masala Tea|Batata Vada|Tea|Samosa|batata vada|masala chai,Service|Customer_Service|Food|Menu|Taste|Price
b-OZwMMnRncrp7_uC-N3vV1Q,Paneer pieces|dinner|butter chicken|chicken lollipop|Goat meat|tea|Fry Biryani|paneer biryani|Kheer|Biryani|Ulava Charu Veg Biryani|butter naan|chicken biryani|Samosa|biryani|tika masala,Staff|Service|Food|Menu|Decor
b-YywWkWX235ZurTWSLqNPog,Chaat|Chole|channa bhatura|paan|Samosa|paneer|Boondi Raita|Malai Kofta|saag|yogurt|bread|chaat papri|curry|chaat paapri|chana bhatura|Gobi|pastry|Roti|breads|Makai Ki Roti|Chole Batura|paratha|chickpea|naan|dessert|Cottage Cheese|mango shakes|samosa|shahi paneer|rice|Gajar Halwa|veg Thali,Staff|Service|Food|Ambience|Taste|Price|Food_Quality
b-BoiAZQB9AHRvazM055GFOw,tikka masala|Tikka Masala Chicken|Sampling Platter|chicken curry|flatbread|Samosa|biryani|Masala Sauce|lentil soup|bread|Dal|Paneer Tikka|chicken|Pashwari Naan|mango lassis|Shrimp|mango lassi|Sauce|Tandoori Platter|naan|dinner|garlic naan|saffron rice|bread pudding|Garlic Naan|rice|tikki Marsala|lamb|tikka masala sauce|chicken tikka masala|Masala Dosa,Staff|Service|Food|Menu|Taste
b-xYpAg60oZVbOtSYgrOKBgQ,salad bar|goat|chai|Butter Chicken|Chicken Tikka Masala|daal makhani|Malai kofta|tandoori|spinach|korma|mango lassi|Daal Makhaani|aloo gobi|Sauce|kheer|naan|garlic naan|Chutney|dinner|chole|Naan Bread|bhajis|Garlic Naan|roti|chicken tikka masala|palak paneer,Staff|Service|Food|Ambience|Menu|Taste|Price
b-TAnzFr9NixvCbvUdJMWL5Q,Dosa|Chicken Tika Masala|chicken biryani|biryani|bread|veg curries|biryani rice|Biryani|Goat|chicken|mango lassi|chilli chicken|Maharaja Bhojanam|Biryani Chicken|raita|dal|Chicken Biryani|garlic naan|rice|Rice|Goat Biryani|Goat Haidarabadi Masala|Dum Biryani,Staff|Service|Food|Menu|Taste|Food_Quality
b-7vgWonwfqRt9pxR1c00Ulw,tikka masala|dinner|sauce|chicken dopiaza|chicken tikka|tomato soup|Shahi paneer|paneer,Staff|Service|Food|Take_Out|Price
b-j9YFHVQqxM_qKHIc4nck-A,Shrimp Pakora|Bombay Chicken|egg roll|vanilla ice cream|sauce|shrimp pakora|Bombay chicken|fish|curry beef|Manchurian Beef|chicken|fish pakora|tandoori|Chicken Pakora|fries|Pakora|soup|chicken pakora|rice noodles|Mixed Vegetables Chicken|dinner|shrimp|Chili Fish|Paneer Pakora|rice|chicken soup|Noodles,Service|Customer_Service|Food|Menu|Taste|Price
b-S4qUsi44l5D9BbUCkhwQEA,tikka masala|dinner|Chutney|dessert|goat madras|Sauce|custard|biryani|Tandoori Chicken|tandoori chicken|fish vindaloo|rice|roti|Chicken|chicken dum biryani|chicken tandoori|naan,Staff|Service|Customer_Service|Food|Menu|Decor|Price|Food_Quality
b-yy_FhzQCeLreV21OBccPAg,garlic naan|Chicken Curry|Curry|Naan|breads|Chicken|goat curry|Biryani|chicken nugget|chicken pakora|chicken tandoori|chicken nuggets|chicken tikka masala,Service|Food|Menu|Taste|Price
b--p-CuUMzN0HQz9OCQ8SZOA,Kebab|bread|chicken tikka|biryani rice|Channa|tandoori chicken|rice|BBQ platter|chicken biryani|biryani|naan,Staff|Service|Food|Price|Food_Quality
b-GC9Re0tKAnecMww3DB638g,Vanilla cupcake|malai kulfi|cake|chocolate cupcake|coffee|cookies|mango|coffee cupcake|Meetha Pan|ice cream|saffron|cupcake|saffron pistachio|Kaju Draksh|pistachio|butter pecan|kulfi|falooda ice cream|ice creams|Pan masala|Meetha Paan|Cake|Pineapple Coconut,Staff|Service|Customer_Service|Taste|Price
b-_X0M7EMx475KZSX9wAsmgg,butter chicken|Veg Pakora|tandoori chicken|sauce|biryani rice|curry|fish|chicken vindaloo|chicken|sweets|Pakora|curry sauce|Pindi Chana|butter paneer|lamb curry|naan|dinner|Tandoori chicken|dessert|beef|jalebi,Service|Food|Menu|Taste|Price
b-DeI4KqEeWy0cTdh7Wy5_RA,tikka masala|naan bread|tea|vegetable chaat samosa|thali platter|Samosa|Chicken Vindaloo|paneer|chai|rice pudding|mango|sauce|bread|Lamb Vindaloo|chai tea|chicken|cilantro chutney|Tandoori Chicken|mango lassi|Daal Makhaani|Sauce|lamb curry|lamb korma|naan|garlic naan|Chutney|dinner|Baigan|samosa|boneless lamb|rice|roti|Amber|chicken tikka masala|Beef Samosa,Staff|Service|Music|Food|Menu|Decor|Taste
b-oX6y1Jm1jYLoWifmIrtaSQ,Papadi chat|Dabeli|Saag Shrimp|chicken biryani|chats|Chicken Vindaloo|paneer|chaat|dahi sev puri|parathas|lamb biryani|gobi|sauce|rogan josh|mango papdi chat|curry|Butter naan|Tikka masala|mango chat|pav bhaji|chicken|Bullet Naan|Mango Lassi|gobi paratha|Baingan Bharta|Paneer|pickles|chicken korma|Sauce|naan|dessert|Momos chutney|mango papri chat|Saag Chicken|malai kofta,Staff|Service|Food|Ambience|Menu|Taste|Price
b-c4qE3ygdEQUD9dZjganavA,butter chicken|gobi|Lamb Korma|Naan bread|Mango lassi|butter naan|Beef samosa|malai kofta|Sauce|rice pudding,Food|Staff|Service|Price
