sub_ent,subject,relation,obj_ent,object
Good,Good,ASPECT_ATTR_FOR,Nirala Sweets & Restaurant,b-qhKNZTtTT6GLnPzQny-v9Q
Food,Food,IS,Good,Good
Nirala Sweets & Restaurant,b-qhKNZTtTT6GLnPzQny-v9Q,HAS_ASPECT,Staff,Staff
Friendly,Friendly,ASPECT_ATTR_FOR,Nirala Sweets & Restaurant,b-qhKNZTtTT6GLnPzQny-v9Q
Staff,Staff,IS,Friendly,Friendly
Nirala Sweets & Restaurant,b-qhKNZTtTT6GLnPzQny-v9Q,HAS_ASPECT,Food,Food
Aggravate,Aggravate,ASPECT_ATTR_FOR,Nirala Sweets & Restaurant,b-qhKNZTtTT6GLnPzQny-v9Q
Food,Food,IS,Aggravate,Aggravate
Nirala Sweets & Restaurant,b-qhKNZTtTT6GLnPzQny-v9Q,HAS_MENU,Naan,Naan
Fresh,Fresh,MENU_ATTR_FOR,Nirala Sweets & Restaurant,b-qhKNZTtTT6GLnPzQny-v9Q
Naan,Naan,IS,Fresh,Fresh
Nirala Sweets & Restaurant,b-qhKNZTtTT6GLnPzQny-v9Q,HAS_ASPECT,Price,Price
Reasonable,Reasonable,ASPECT_ATTR_FOR,Nirala Sweets & Restaurant,b-qhKNZTtTT6GLnPzQny-v9Q
Price,Price,IS,Reasonable,Reasonable
Nirala Sweets & Restaurant,b-qhKNZTtTT6GLnPzQny-v9Q,HAS_MENU,Halwa Puri,Halwa_Puri
Halwa Puri,Halwa_Puri,TRY,,Kababs
,u-g_Q_ZaZpIOdlTcceyNsqRg,ORDERED,,u-g_Q_ZaZpIOdlTcceyNsqRg
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Rice,Rice
Barry,u-g_Q_ZaZpIOdlTcceyNsqRg,ORDER,Rice,Rice
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_ASPECT,Food,Food
Good,Good,ASPECT_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Food,Food,IS,Good,Good
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Chicken,Chicken
Insane,Insane,MENU_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Chicken,Chicken,IS,Insane,Insane
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_ASPECT,Staff,Staff
Amazing,Amazing,ASPECT_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Staff,Staff,IS,Amazing,Amazing
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_ASPECT,Staff,Staff
Friendly,Friendly,ASPECT_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Staff,Staff,IS,Friendly,Friendly
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,IS,Good,Good
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_ASPECT,Food,Food
Fresh,Fresh,ASPECT_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Food,Food,IS,Fresh,Fresh
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Naan,Naan
Winncie,u-m0_W4iHkNZddR0msFtXI4w,ORDER,Naan,Naan
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Vegetables,Vegetables
Winncie,u-m0_W4iHkNZddR0msFtXI4w,ORDER,Vegetables,Vegetables
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Naan Roll,Naan_Roll
Winncie,u-m0_W4iHkNZddR0msFtXI4w,ORDER,Naan Roll,Naan_Roll
Easy,Easy,MENU_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Naan Roll,Naan_Roll,IS,Easy,Easy
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Naan Bread,Naan_Bread
Tamara,u-wffnrXJoLppOlvNOZKU70A,ORDER,Naan Bread,Naan_Bread
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_ASPECT,Food,Food
Delicious,Delicious,ASPECT_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Food,Food,IS,Delicious,Delicious
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_ASPECT,Staff,Staff
Friendly,Friendly,ASPECT_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Staff,Staff,IS,Friendly,Friendly
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Delhi Kebab,Delhi_Kebab
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_ASPECT,Menu,Menu
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_ASPECT,Decor,Decor
Exquisite,Exquisite,ASPECT_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Decor,Decor,IS,Exquisite,Exquisite
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Tandoori Chicken,Tandoori_Chicken
Dry,Dry,MENU_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Tandoori Chicken,Tandoori_Chicken,IS,Dry,Dry
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Butter Paneer,Butter_Paneer
Good,Good,MENU_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Butter Paneer,Butter_Paneer,IS,Good,Good
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Mango Lassi,Mango_Lassi
Nice,Nice,MENU_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Mango Lassi,Mango_Lassi,IS,Nice,Nice
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Bread,Bread
Becca,u-jOxTWEayNgaYcoREH68Urw,ORDER,Bread,Bread
,u-UciQosDMxu03un88j-F3pg,UBEREATS,,Food
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_ASPECT,Food,Food
Lack,Lack,ASPECT_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Food,Food,PARDON,Lack,Lack
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Bread,Bread
Bread,Bread,TASTED_LIKE,,Bread
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_ASPECT,Food,Food
Enough,Enough,ASPECT_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Food,Food,IS,Enough,Enough
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Frankie Rolls,Frankie_Rolls
Anna,u-oTXacfmCLz9mev6KORIfEQ,ORDER,Frankie Rolls,Frankie_Rolls
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Naan,Naan
Delicious,Delicious,MENU_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Naan,Naan,IS,Delicious,Delicious
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_ASPECT,Staff,Staff
Helpful,Helpful,ASPECT_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Staff,Staff,IS,Helpful,Helpful
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Naan Bread,Naan_Bread
Amazing,Amazing,MENU_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Naan Bread,Naan_Bread,IS,Amazing,Amazing
,u-nQdeDxykYTI-0YDfmel3JA,VISITING,,Montreal
,u-nQdeDxykYTI-0YDfmel3JA,LOVE,,Food
,u-nQdeDxykYTI-0YDfmel3JA,ATE_FOR,,Days
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,IS,Amazing,Amazing
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Paneer Wrap,Paneer_Wrap
Chris,u-LF8CqQMpHcKyJffiNtKhcg,ORDER,Paneer Wrap,Paneer_Wrap
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Tandoori,Tandoori
Solid,Solid,MENU_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Tandoori,Tandoori,IS,Solid,Solid
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Butter Chicken,Butter_Chicken
Butter Chicken,Butter_Chicken,WRAPPED_IN,,Naan
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_ASPECT,Food,Food
Authentic,Authentic,ASPECT_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Food,Food,IS,Authentic,Authentic
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Potatoe Bowls,Potatoe_Bowls
Potatoe Bowls,Potatoe_Bowls,HAS,,Sauce
Amazing,Amazing,MENU_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Potatoe Bowls,Potatoe_Bowls,IS,Amazing,Amazing
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_ASPECT,Food,Food
Delicious,Delicious,ASPECT_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Food,Food,IS,Delicious,Delicious
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Naan,Naan
Tasty,Tasty,MENU_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Naan,Naan,IS,Tasty,Tasty
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Naan Bread,Naan_Bread
Amazing,Amazing,MENU_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Naan Bread,Naan_Bread,IS,Amazing,Amazing
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_ASPECT,Menu,Menu
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,IS,Fantastic,Fantastic
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_ASPECT,Food,Food
Great,Great,ASPECT_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Food,Food,IS,Great,Great
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_ASPECT,Food,Food
Good,Good,ASPECT_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Food,Food,IS,Good,Good
,u-w76bION8x6C2p1EYWx0O6A,VISIT,,b-k9PfKE7KfztoMpOSx25UpA
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Chili Sauce,Chili_Sauce
Top,Top,MENU_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Chili Sauce,Chili_Sauce,LAYERED_ON,Top,Top
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_ASPECT,Staff,Staff
Great,Great,ASPECT_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Staff,Staff,IS,Great,Great
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Samosa,Samosa
Terrific,Terrific,MENU_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Samosa,Samosa,IS,Terrific,Terrific
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_ASPECT,Staff,Staff
Friendly,Friendly,ASPECT_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Staff,Staff,IS,Friendly,Friendly
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Naan,Naan
Fresh,Fresh,MENU_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Naan,Naan,MAKE,Fresh,Fresh
,b-k9PfKE7KfztoMpOSx25UpA,OPENED_IN,,u-3zdB0SSrXIDIgsrOmhdUtQ
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Channa Samosa,Channa_Samosa
Fatema,u-3zdB0SSrXIDIgsrOmhdUtQ,ORDER,Channa Samosa,Channa_Samosa
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,IS,Appropriate,Appropriate
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_ASPECT,Price,Price
Reasonable,Reasonable,ASPECT_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Price,Price,IS,Reasonable,Reasonable
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_ASPECT,Food,Food
Fine,Fine,ASPECT_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Food,Food,IS,Fine,Fine
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_ASPECT,Food,Food
Solid,Solid,ASPECT_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Food,Food,IS,Solid,Solid
SpiceBros,b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Naan,Naan
Good,Good,MENU_ATTR_FOR,SpiceBros,b-k9PfKE7KfztoMpOSx25UpA
Naan,Naan,IS,Good,Good
Star of India,b-3frFidAcPVYAFB2RxxkIdA,HAS_MENU,Chat,Chat
Jenn,u-r98FaAOAoJDCPp384XpcYA,ORDER,Chat,Chat
Star of India,b-3frFidAcPVYAFB2RxxkIdA,HAS_MENU,Mattar Paneer,Mattar_Paneer
Jenn,u-r98FaAOAoJDCPp384XpcYA,ORDER,Mattar Paneer,Mattar_Paneer
Good,Good,MENU_ATTR_FOR,Star of India,b-3frFidAcPVYAFB2RxxkIdA
Mattar Paneer,Mattar_Paneer,IS,Good,Good
Star of India,b-3frFidAcPVYAFB2RxxkIdA,HAS_ASPECT,Food,Food
Good,Good,ASPECT_ATTR_FOR,Star of India,b-3frFidAcPVYAFB2RxxkIdA
Food,Food,IS,Good,Good
Star of India,b-3frFidAcPVYAFB2RxxkIdA,HAS_MENU,Rice Pudding,Rice_Pudding
Good,Good,MENU_ATTR_FOR,Star of India,b-3frFidAcPVYAFB2RxxkIdA
Rice Pudding,Rice_Pudding,IS,Good,Good
Star of India,b-3frFidAcPVYAFB2RxxkIdA,HAS_ASPECT,Service,Service
Slow,Slow,ASPECT_ATTR_FOR,Star of India,b-3frFidAcPVYAFB2RxxkIdA
Service,Service,IS,Slow,Slow
Star of India,b-3frFidAcPVYAFB2RxxkIdA,HAS_ASPECT,Food,Food
Good,Good,ASPECT_ATTR_FOR,Star of India,b-3frFidAcPVYAFB2RxxkIdA
Food,Food,IS,Good,Good
Star of India,b-3frFidAcPVYAFB2RxxkIdA,HAS_ASPECT,Service,Service
Slow,Slow,ASPECT_ATTR_FOR,Star of India,b-3frFidAcPVYAFB2RxxkIdA
Service,Service,IS,Slow,Slow
Star of India,b-3frFidAcPVYAFB2RxxkIdA,HAS_ASPECT,Service,Service
Friendly,Friendly,ASPECT_ATTR_FOR,Star of India,b-3frFidAcPVYAFB2RxxkIdA
Service,Service,IS,Friendly,Friendly
Star of India,b-3frFidAcPVYAFB2RxxkIdA,HAS_ASPECT,Service,Service
Friendly,Friendly,ASPECT_ATTR_FOR,Star of India,b-3frFidAcPVYAFB2RxxkIdA
Service,Service,IS,Friendly,Friendly
Star of India,b-3frFidAcPVYAFB2RxxkIdA,HAS_ASPECT,Service,Service
Attentive,Attentive,ASPECT_ATTR_FOR,Star of India,b-3frFidAcPVYAFB2RxxkIdA
Service,Service,IS,Attentive,Attentive
Star of India,b-3frFidAcPVYAFB2RxxkIdA,HAS_MENU,Lamb Curry,Lamb_Curry
Jack,u-oF8Efb3fBrwWZvmsl6e-pw,ORDER,Lamb Curry,Lamb_Curry
Star of India,b-3frFidAcPVYAFB2RxxkIdA,HAS_ASPECT,Food,Food
Delicious,Delicious,ASPECT_ATTR_FOR,Star of India,b-3frFidAcPVYAFB2RxxkIdA
Food,Food,IS,Delicious,Delicious
Star of India,b-3frFidAcPVYAFB2RxxkIdA,HAS_MENU,Samosa,Samosa
Great,Great,MENU_ATTR_FOR,Star of India,b-3frFidAcPVYAFB2RxxkIdA
Samosa,Samosa,IS,Great,Great
Star of India,b-3frFidAcPVYAFB2RxxkIdA,HAS_ASPECT,Service,Service
Polished,Polished,ASPECT_ATTR_FOR,Star of India,b-3frFidAcPVYAFB2RxxkIdA
Service,Service,IS,Polished,Polished
Star of India,b-3frFidAcPVYAFB2RxxkIdA,HAS_ASPECT,Service,Service
Great,Great,ASPECT_ATTR_FOR,Star of India,b-3frFidAcPVYAFB2RxxkIdA
Service,Service,IS,Great,Great
Star of India,b-3frFidAcPVYAFB2RxxkIdA,HAS_ASPECT,Food,Food
Excellent,Excellent,ASPECT_ATTR_FOR,Star of India,b-3frFidAcPVYAFB2RxxkIdA
Food,Food,IS,Excellent,Excellent
Star of India,b-3frFidAcPVYAFB2RxxkIdA,HAS_ASPECT,Price,Price
Reasonable,Reasonable,ASPECT_ATTR_FOR,Star of India,b-3frFidAcPVYAFB2RxxkIdA
Price,Price,IS,Reasonable,Reasonable
,u-tWERpFdgD0aveUbV24p85A,JUDGE,,Food
Star of India,b-3frFidAcPVYAFB2RxxkIdA,HAS_MENU,Curry Lamb,Curry_Lamb
Curry Lamb,Curry_Lamb,SERVED_WITH,,Basmati_Rice
,u-2ZZNOoMQ7WFvFoxDUFw1wg,RECOMMEND,,Tamarind
Star of India,b-3frFidAcPVYAFB2RxxkIdA,HAS_ASPECT,Food,Food
Decent,Decent,ASPECT_ATTR_FOR,Star of India,b-3frFidAcPVYAFB2RxxkIdA
Food,Food,IS,Decent,Decent
Star of India,b-3frFidAcPVYAFB2RxxkIdA,HAS_MENU,Naan,Naan
Sarah,u-JEszsIpnQ2prCwWx7WuYWQ,ORDER,Naan,Naan
Star of India,b-3frFidAcPVYAFB2RxxkIdA,HAS_MENU,Soup,Soup
Sarah,u-JEszsIpnQ2prCwWx7WuYWQ,ORDER,Soup,Soup
Star of India,b-3frFidAcPVYAFB2RxxkIdA,HAS_MENU,Dinner,Dinner
Sarah,u-JEszsIpnQ2prCwWx7WuYWQ,ORDER,Dinner,Dinner
Great,Great,MENU_ATTR_FOR,Star of India,b-3frFidAcPVYAFB2RxxkIdA
Naan,Naan,IS,Great,Great
Good,Good,MENU_ATTR_FOR,Star of India,b-3frFidAcPVYAFB2RxxkIdA
Soup,Soup,IS,Good,Good
Star of India,b-3frFidAcPVYAFB2RxxkIdA,HAS_MENU,Samosa,Samosa
Samosa,Samosa,IS,Good,Good
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_ASPECT,Service,Service
Decent,Decent,ASPECT_ATTR_FOR,Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA
Service,Service,IS,Decent,Decent
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_MENU,Bengan Bharta,Bengan_Bharta
Marginal,Marginal,MENU_ATTR_FOR,Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA
Bengan Bharta,Bengan_Bharta,IS,Marginal,Marginal
,Staff,SERVE,,Naan
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_ASPECT,Food,Food
Good,Good,ASPECT_ATTR_FOR,Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA
Food,Food,IS,Good,Good
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_ASPECT,Price,Price
Decent,Decent,ASPECT_ATTR_FOR,Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA
Price,Price,IS,Decent,Decent
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_ASPECT,Service,Service
Decent,Decent,ASPECT_ATTR_FOR,Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA
Service,Service,IS,Decent,Decent
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_MENU,Chapati,Chapati
Karen,u-gjW2ctfe4yvTD7IqmZUeBg,ORDER,Chapati,Chapati
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_MENU,Naan,Naan
Karen,u-gjW2ctfe4yvTD7IqmZUeBg,ORDER,Naan,Naan
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_MENU,Saag Paneer,Saag_Paneer
Saag Paneer,Saag_Paneer,CAME_WITHOUT,,Rice
,Food,HAS,,Food
,u-gjW2ctfe4yvTD7IqmZUeBg,HAS,,Food
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_ASPECT,Food,Food
Good,Good,ASPECT_ATTR_FOR,Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA
Food,Food,IS,Good,Good
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_MENU,Garlic Naan,Garlic_Naan
Hot,Hot,MENU_ATTR_FOR,Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA
Garlic Naan,Garlic_Naan,IS,Hot,Hot
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_ASPECT,Staff,Staff
Lazy,Lazy,ASPECT_ATTR_FOR,Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA
Staff,Staff,IS,Lazy,Lazy
Delicious,Delicious,ASPECT_ATTR_FOR,Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA
Food,Food,IS,Delicious,Delicious
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_ASPECT,Food,Food
Outstanding,Outstanding,ASPECT_ATTR_FOR,Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA
Food,Food,IS,Outstanding,Outstanding
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_MENU,Butter Chicken,Butter_Chicken
Fantastic,Fantastic,MENU_ATTR_FOR,Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA
Butter Chicken,Butter_Chicken,IS,Fantastic,Fantastic
,u-wc-ImFPko38VG4Rx9DEqNQ,GOING_FOR,,Food
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_ASPECT,Service,Service
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_MENU,Checkin Baryani,Checkin_Baryani
Delicious,Delicious,MENU_ATTR_FOR,Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA
Checkin Baryani,Checkin_Baryani,IS,Delicious,Delicious
Excellent,Excellent,ASPECT_ATTR_FOR,Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA
Service,Service,IS,Excellent,Excellent
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_ASPECT,Food,Food
Amazing,Amazing,ASPECT_ATTR_FOR,Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA
Food,Food,IS,Amazing,Amazing
,u-r_JrfBgXoQrIKgt53gSQOw,COMPARING_WITH,,Kama
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_MENU,Lamb Roganjosh,Lamb_Roganjosh
Bland,Bland,MENU_ATTR_FOR,Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA
Lamb Roganjosh,Lamb_Roganjosh,IS,Bland,Bland
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_MENU,Chicken Masala,Chicken_Masala
Terrible,Terrible,MENU_ATTR_FOR,Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA
Chicken Masala,Chicken_Masala,IS,Terrible,Terrible
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_ASPECT,Food,Food
Good,Good,ASPECT_ATTR_FOR,Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA
Food,Food,SAY,Good,Good
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_MENU,Chicken Noorani Kebab,Chicken_Noorani_Kebab
Maggie,u-HDBchQwbw_oWyvCJc69xuQ,ORDER,Chicken Noorani Kebab,Chicken_Noorani_Kebab
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_MENU,Paneer,Paneer
Paneer,Paneer,SAAG_WITH,,Rice
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_MENU,Khums Matar Paneer,Khums_Matar_Paneer
Anne,u-vfQMFkLHSAQyYcjBQokAtQ,ORDER,Khums Matar Paneer,Khums_Matar_Paneer
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_MENU,Rice,Rice
Rice,Rice,INCLUDED_IN,,Price
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_ASPECT,Food,Food
Good,Good,ASPECT_ATTR_FOR,Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA
Food,Food,IS,Good,Good
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_ASPECT,Service,Service
Great,Great,ASPECT_ATTR_FOR,Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA
Service,Service,IS,Great,Great
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_MENU,Patty,Patty
Patty,Patty,ORDERED,,Chicken
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_ASPECT,Food,Food
Wonderful,Wonderful,ASPECT_ATTR_FOR,Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA
Food,Food,IS,Wonderful,Wonderful
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_MENU,Papdi Chat,Papdi_Chat
Samtha,u-JvOm8KVujosHlFLyv4mBgg,ORDER,Papdi Chat,Papdi_Chat
,u-29GPdhDdc2nG9ilWpsAZCQ,VISITED,,Toronto
,u-29GPdhDdc2nG9ilWpsAZCQ,ENJOY,,b-7xA6iSP0Ndn08tpBFQtUKA
,u-29GPdhDdc2nG9ilWpsAZCQ,VISITED_FROM,,Us
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_ASPECT,Food,Food
Delicious,Delicious,ASPECT_ATTR_FOR,Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA
Food,Food,IS,Delicious,Delicious
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_MENU,Lamb Chop Kandhari,Lamb_Chop_Kandhari
Topsy,u-X2KAO0z3RnfPgYXdfzGH5Q,ORDER,Lamb Chop Kandhari,Lamb_Chop_Kandhari
,b-7xA6iSP0Ndn08tpBFQtUKA,QUOTED,,Minutes
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_ASPECT,Staff,Staff
Nice,Nice,ASPECT_ATTR_FOR,Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA
Staff,Staff,IS,Nice,Nice
,u-tDSNWC5WKwx52yq6X26kfw,STUMBLED_ACROSS,,b-7xA6iSP0Ndn08tpBFQtUKA
Aroma Fine Indian Cuisine,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_ASPECT,Food,Food
